"ID","Q32_4","Q32_3","Q32_1","Q32_6","Q32_2","Cluster"
1,0,1,0,0,1,1
2,0,0,1,0,0,2
3,0,1,1,1,1,1
4,1,1,0,0,0,3
5,0,1,1,0,0,2
6,0,1,1,0,0,2
7,1,0,0,0,0,2
8,1,1,0,1,1,1
9,1,0,1,0,0,2
10,1,1,1,0,1,1
11,1,1,1,0,1,1
12,0,1,1,0,0,2
13,0,1,0,0,0,3
14,1,0,1,0,1,1
15,0,1,1,0,1,1
16,1,1,1,0,0,2
17,1,1,1,0,0,2
18,1,1,0,0,0,3
19,0,1,0,0,0,3
20,1,1,0,0,1,1
21,1,1,0,0,0,3
22,1,1,1,0,1,1
23,1,1,0,0,0,3
24,1,1,0,0,1,1
25,0,1,1,0,0,2
26,0,1,0,0,0,3
27,1,1,1,1,1,1
28,1,1,1,1,1,1
29,1,0,0,0,0,2
30,0,1,1,0,0,2
31,0,1,1,0,0,2
32,1,1,0,0,1,1
33,0,1,0,0,0,3
34,0,0,1,0,1,1
35,0,1,0,0,1,1
36,1,0,1,0,0,2
37,0,1,0,0,0,3
38,1,1,0,0,0,3
39,0,1,0,0,0,3
40,1,1,0,0,0,3
41,1,1,0,0,0,3
42,1,1,1,0,0,2
43,0,1,0,0,0,3
44,1,1,1,0,0,2
45,1,1,1,0,0,2
46,0,1,1,1,1,1
47,1,0,1,0,0,2
48,0,0,0,0,0,2
49,0,1,0,0,0,3
50,0,1,0,0,1,1
51,0,1,1,0,1,1
52,1,1,0,0,1,1
53,1,1,1,0,0,2
54,1,1,1,1,1,1
55,0,1,0,0,0,3
56,0,1,1,1,1,1
57,1,0,1,0,0,2
58,0,1,0,0,0,3
59,1,0,1,0,0,2
60,1,1,1,0,0,2
61,0,1,1,1,1,1
62,0,1,0,0,0,3
63,0,1,0,0,0,3
64,0,1,0,0,0,3
65,0,1,1,0,0,2
66,1,1,0,0,1,1
67,0,0,1,0,0,2
68,1,1,0,0,0,3
69,0,1,1,0,0,2
70,0,0,0,0,0,2
71,0,0,0,0,0,2
72,1,1,0,0,0,3
73,0,1,0,0,0,3
74,1,1,0,0,0,3
75,1,1,0,0,1,1
76,1,1,0,0,0,3
77,1,1,1,0,0,2
78,1,0,1,0,1,1
79,0,1,1,1,1,1
80,0,0,1,0,1,1
81,1,1,1,0,0,2
82,0,1,0,0,0,3
83,1,1,0,0,0,3
84,0,1,0,0,0,3
85,0,1,0,0,0,3
86,1,1,0,0,0,3
87,1,0,0,0,0,2
88,1,1,1,0,0,2
89,1,0,0,0,1,1
90,0,1,0,0,0,3
91,0,1,1,0,1,1
92,0,1,1,1,1,1
93,0,0,1,0,0,2
94,1,0,1,0,0,2
95,0,0,1,0,1,1
96,0,1,0,0,0,3
97,0,1,1,0,0,2
98,1,1,1,0,1,1
99,1,1,0,0,0,3
100,0,0,1,0,0,2
101,0,1,0,0,0,3
102,1,0,0,0,0,2
103,0,1,0,0,1,1
104,1,1,0,0,0,3
105,0,1,0,0,1,1
106,1,1,0,0,0,3
107,0,1,0,0,0,3
108,0,0,1,0,0,2
109,0,1,0,0,0,3
110,0,1,0,0,1,1
111,0,1,1,0,0,2
112,1,1,1,1,0,2
113,0,1,0,0,0,3
114,0,1,0,0,1,1
115,0,1,0,0,0,3
116,1,1,0,0,0,3
117,1,1,1,0,0,2
118,1,0,1,0,0,2
119,1,0,1,0,0,2
120,0,1,1,0,0,2
121,0,1,1,1,0,2
122,1,0,1,0,0,2
123,1,0,0,0,0,2
124,0,1,0,0,0,3
125,0,1,1,0,0,2
126,1,1,0,0,0,3
127,0,0,1,0,0,2
128,0,1,1,0,1,1
129,1,1,0,0,0,3
130,0,0,0,1,0,2
131,0,0,1,0,0,2
132,1,0,1,0,0,2
133,1,1,0,1,1,1
134,0,1,0,0,0,3
135,0,1,1,0,0,2
136,0,1,0,0,1,1
137,0,1,0,0,0,3
138,0,1,0,0,0,3
139,1,1,0,0,1,1
140,0,0,1,0,1,1
141,1,1,1,0,1,1
142,0,0,1,0,0,2
143,1,1,0,0,0,3
144,0,1,0,0,0,3
145,1,0,1,0,0,2
146,1,0,0,1,1,1
147,0,1,1,0,0,2
